movieId,tagId,relevance
1,11,0.577
1,19,0.6705
1,21,0.33025
1,29,0.892
1,30,0.67625
1,33,0.402
1,36,0.33025
1,49,0.32
1,61,0.54475
1,62,0.68775
1,63,0.93325
1,64,0.98575
1,79,0.3575
1,86,0.30275
1,93,0.32775
1,94,0.33225
1,113,0.53425
1,121,0.32025
1,128,0.43325
1,170,0.45025
1,172,0.41575
1,175,0.333
1,186,0.9565
1,188,0.486
1,192,0.3045
1,193,0.81925
1,195,0.59
1,203,0.92625
1,204,0.96425
1,215,0.81925
1,216,0.32075
1,220,0.78025
1,229,0.52475
1,230,0.618
1,235,0.333
1,240,0.3555
1,244,0.9985
1,246,0.447
1,255,0.5445
1,260,0.41725
1,266,0.5875
1,269,0.30925
1,270,0.3165
1,272,0.314
1,277,0.413
1,278,0.8
1,279,0.57
1,299,0.51525
1,302,0.6375
1,304,0.38375
1,309,0.873
1,310,0.91375
1,316,0.307
1,323,0.3615
1,334,0.32875
1,338,0.45325
1,345,0.314
1,353,0.3515
1,355,0.721
1,356,0.31625
1,364,0.62525
1,365,0.5415
1,367,0.47075
1,371,0.52025
1,372,0.30075
1,374,0.8485
1,377,0.59675
1,378,0.463
1,382,0.486
1,387,0.61925
1,388,0.73425
1,412,0.91175
1,414,0.87775
1,415,0.823
1,417,0.695
1,445,0.8355
1,446,0.4785
1,447,0.4565
1,451,0.39225
1,452,0.73375
1,453,0.46675
1,454,0.4755
1,455,0.457
1,464,0.83525
1,465,0.397
1,468,0.6315
1,469,0.92075
1,472,0.443
1,490,0.485
1,497,0.75875
1,504,0.53125
1,505,0.34225
1,519,0.38225
1,528,0.62925
1,529,0.689
1,535,0.5305
1,536,0.942
1,548,0.34125
1,553,0.49275
1,554,0.57875
1,585,0.40525
1,588,0.97925
1,589,0.99075
1,602,0.4345
1,603,0.9
1,610,0.40725
1,627,0.3405
1,634,0.3435
1,643,0.31525
1,646,0.64925
1,664,0.6955
1,669,0.302
1,675,0.48275
1,691,0.421
1,717,0.817
1,719,0.3995
1,742,0.87925
1,743,0.758
1,745,0.497
1,747,0.343
1,748,0.754
1,750,0.641
1,752,0.472
1,755,0.3135
1,760,0.42675
1,761,0.701
1,776,0.3325
1,777,0.491
1,785,0.96675
1,786,0.996
1,787,0.35625
1,797,0.32075
1,806,0.32225
1,830,0.65725
1,840,0.406
1,844,0.49725
1,867,0.671
1,870,0.37375
1,881,0.369
1,895,0.3035
1,897,0.387
1,900,0.5165
1,921,0.54875
1,936,0.3925
1,942,0.46475
1,950,0.308
1,951,0.358
1,961,0.31875
1,967,0.3555
1,969,0.3055
1,971,0.9075
1,972,0.75
1,982,0.3755
1,990,0.3775
1,992,0.4345
1,999,0.49
1,1000,0.31
1,1003,0.57375
1,1007,0.50675
1,1008,0.6095
1,1012,0.75225
1,1020,0.3335
1,1025,0.31425
1,1034,0.3355
1,1035,0.582
1,1036,0.99925
1,1040,0.4915
1,1051,0.363
1,1062,0.84225
1,1064,0.4205
1,1065,0.3015
1,1071,0.544
1,1072,0.7145
1,1090,0.60425
1,1091,0.4105
1,1092,0.445
1,1093,0.33725
1,1108,0.737
1,1114,0.77675
2,19,0.646
2,20,0.40025
2,21,0.451
2,22,0.602
2,29,0.981
2,49,0.355
2,61,0.55125
2,62,0.9145
2,98,0.4695
2,107,0.66125
2,112,0.643
2,113,0.597
2,132,0.77675
2,172,0.435
2,186,0.312
2,188,0.4865
2,193,0.4355
2,195,0.626
2,203,0.87025
2,204,0.96425
2,220,0.35625
2,230,0.54025
2,244,0.60175
2,245,0.72775
2,255,0.3485
2,266,0.41125
2,279,0.34125
2,292,0.35225
2,299,0.55075
2,302,0.37275
2,304,0.3835
2,334,0.52575
2,345,0.6165
2,355,0.7205
2,364,0.357
2,367,0.597
2,374,0.86925
2,377,0.934
2,378,0.69775
2,382,0.3915
2,388,0.353
2,389,0.33025
2,396,0.37275
2,414,0.7455
2,415,0.8705
2,445,0.79
2,447,0.51825
2,455,0.377
2,464,0.64375
2,468,0.4295
2,469,0.5285
2,490,0.50125
2,497,0.41
2,502,0.35275
2,530,0.34
2,553,0.337
2,568,0.41025
2,584,0.967
2,588,0.9585
2,589,0.591
2,602,0.3255
2,603,0.346
2,604,0.84375
2,623,0.58825
2,646,0.61
2,662,0.68875
2,664,0.31775
2,694,0.404
2,717,0.665
2,719,0.31525
2,742,0.719
2,743,0.38575
2,745,0.31175
2,752,0.4375
2,759,0.3555
2,761,0.38025
2,765,0.3185
2,776,0.47075
2,777,0.561
2,793,0.3135
2,807,0.50525
2,844,0.3245
2,867,0.5105
2,881,0.6125
2,882,0.685
2,890,0.357
2,897,0.30075
2,900,0.39875
2,919,0.32175
2,920,0.4545
2,951,0.93475
2,953,0.672
2,971,0.588
2,972,0.3165
2,991,0.63175
2,998,0.30025
2,999,0.44075
2,1012,0.359
2,1026,0.4495
2,1028,0.439
2,1036,0.337
2,1040,0.47225
2,1053,0.347
2,1072,0.3195
2,1074,0.8185
2,1076,0.52775
2,1077,0.52875
2,1090,0.32475
2,1092,0.3255
2,1104,0.316
2,1113,0.39025
3,29,0.412
3,121,0.33475
3,128,0.367
3,188,0.4405
3,195,0.538
3,203,0.3485
3,230,0.84675
3,264,0.63275
3,272,0.30075
3,277,0.45225
3,292,0.4095
3,299,0.632
3,302,0.456
3,374,0.5175
3,397,0.56975
3,403,0.36125
3,412,0.3095
3,415,0.406
3,417,0.45025
3,445,0.54025
3,451,0.9745
3,452,0.31175
3,455,0.31
3,464,0.6155
3,465,0.37675
3,468,0.453
3,469,0.405
3,472,0.35825
3,481,0.474
3,490,0.304
3,505,0.3515
3,609,0.3015
3,629,0.33475
3,646,0.54575
3,654,0.444
3,726,0.40825
3,742,0.779
3,743,0.3165
3,777,0.51775
3,807,0.45225
3,846,0.31
3,850,0.3445
3,863,0.57425
3,865,0.3895
3,867,0.3855
3,901,0.9505
3,902,0.93325
3,915,0.39425
3,919,0.5005
3,971,0.39975
3,992,0.422
3,1057,0.31225
3,1062,0.3355
3,1070,0.41825
3,1071,0.47525
3,1102,0.416
3,1116,0.37075
4,21,0.49875
4,22,0.4465
4,28,0.55575
4,97,0.33425
4,107,0.45675
4,121,0.32425
4,128,0.54225
4,169,0.311
4,179,0.4735
4,188,0.4185
4,196,0.4845
4,201,0.8665
4,277,0.37225
4,299,0.39925
4,302,0.38875
4,313,0.521
4,328,0.31575
4,374,0.3885
4,387,0.5285
4,388,0.604
4,396,0.3285
4,412,0.52075
4,425,0.46725
4,439,0.82975
4,445,0.48325
4,452,0.38325
4,464,0.4065
4,468,0.3695
4,490,0.4185
4,497,0.362
4,556,0.466
4,585,0.40925
4,602,0.366
4,613,0.54425
4,614,0.50325
4,640,0.31175
4,646,0.49675
4,726,0.3295
4,742,0.64375
4,777,0.313
4,801,0.3375
4,807,0.45225
4,828,0.33525
4,846,0.6365
4,863,0.304
4,864,0.7965
4,900,0.418
4,913,0.595
4,915,0.31475
4,967,0.596
4,972,0.3305
4,1003,0.61925
